StateID,AdjacentStateIDs
1,
2,903;937;959;1014;1025
3,
4,5;192;194;403;405
5,4;261;401;403;405;406;688
6,7;395;396;398;402
7,6;13;394;398;399;400;402
8,233;400;402;586
9,10;11;234;429;625;762;811
10,9;12;234;429;1033
11,9;234;399;586;762;860
12,10;13;234;399;1033;1034
13,7;12;394;399;1034
14,
15,261;443;687;688;693;886
16,261;397;406;666;687
17,430;431;432;1034
18,668
19,
20,21;264;668;690
21,20;264;669;690
22,255;682;683
23,524
24,251;530;531
25,59;108;110;755;885;1020;1021
26,525;528
27,311
28,30;308;309
29,308
30,28;308;309
31,32
32,31;634
33,301;630
34,35;302;391;523;734
35,34;37;38;521;523
36,47;55;59;119;755;831;884;885
37,35;38
38,35;37;521
39,53;252;612;621;629;764
40,595;597;683;746
41,42;599;601;619;769
42,41;601;611;769
43,605;607;611;627
44,49;299;610;768
45,600;601;612;620
46,613;614;616;617;621;628
47,36;55;57;58;59;831
48,52;622;628;777;845
49,44;299;610;772;774
50,256;296;428;609;625;776;779;780;811
51,617;618;628;845
52,48;53;252;622;775;776;777
53,39;52;252;622;629
54,621;629;766
55,36;47;58;829;831;975
56,143;174;470;750;829;830;1015
57,47;58;59;786;848
58,47;55;57;470;829;830;837;848
59,25;36;47;57;110;437;786;885;1019
60,147;808;842;843
61,954;958;960;961
62,966;967;968;971
63,136;138;139;820
64,70;87;88
65,
66,
67,
68,111;112;159;880
69,125;130
70,64;87
71,82;150;835;838
72,86;89
73,84;86;89;972
74,80;85;313
75,79;313
76,
77,78;81
78,77;79;81;313
79,75;78;313
80,74;81;83;85;313
81,77;78;80;83;313
82,71;150;840;841
83,80;81;84;85;972
84,73;83;972
85,74;80;83;972
86,72;73;89;972
87,64;70;88
88,64;87
89,72;73;86
90,155
91,92;94
92,91;94;952
93,104;271
94,91;92;95;952;954;958
95,94;359;952;955;958
96,97;960;961;962
97,96;955;956;960;963
98,677;957;963;964
99,
100,105;154;177;178;209;231;968
101,102;175;177;969
102,101;175;677;740;964;965;969
103,105;966;967;969;971
104,93;115;271;809
105,100;103;177;968;969;971
106,108;114;270;370;877;878;879
107,108;381;515;526;1021
108,25;106;107;116;370;515;755;879;1021
109,415;675;748;781;786;848;859;1018
110,25;59;415;675;1018;1019;1020
111,68
112,68;117;118;159;880
113,114;117;118;754;877;878
114,106;113;116;117;370;877;882
115,104;137;204;237;271;809
116,108;114;117;370;755;882
117,112;113;114;116;118
118,112;113;117;159
119,36
