StateID,R,G,B,Filename,StateName
1,0,0,8,"1-France.txt","Corsica"
2,0,0,16,"10-Poland.txt","Warsaw"
3,0,0,24,"100-Iceland.txt","Iceland"
4,0,0,33,"1000-East Azerbaijan.txt","East Azerbaijan"
5,0,0,41,"1001-Kurdistan.txt","Kurdistan"
6,0,0,49,"1002-Yazd.txt","Yazd"
7,0,0,57,"1003-South Khorasan.txt","South Khorasan"
8,0,0,66,"1004-North Khorasan.txt","North Khorasan"
9,0,0,74,"1005-Qataghan.txt","Qataghan"
10,0,0,82,"1006-Khyber Pass.txt","Khyber Pass"
11,0,0,90,"1007-Maymanah.txt","Maymanah"
12,0,0,99,"1008-Qandahar.txt","Qandahar"
13,0,0,107,"1009-Farah.txt","Farah"
14,0,0,115,"101-Greenland.txt","Greenland"
15,0,0,123,"1010-Al Anbar.txt","Al Anbar"
16,0,0,132,"1011-Al Basrah.txt","Al Basrah"
17,0,0,140,"1012-Kalat.txt","Kalat"
18,0,0,148,"1013 -Musamdam.txt","Musandam"
19,0,0,156,"1014 - Bahrain.txt","Bahrain"
20,0,0,165,"1015 - Interior Oman.txt","Oman"
21,0,0,173,"1016 - Dhofar.txt","Dhofar"
22,0,0,181,"1017 - Trung Bo.txt","Trung Bo"
23,0,0,189,"1018 - South Kyushu.txt","Minami Kyūshū"
24,0,0,198,"1019 - South Tohoku.txt","Minami Tohoku"
25,0,0,206,"102-North-Eastern Slovenia.txt","North Slovenia"
26,0,0,214,"1020 - Sanin.txt","San'in"
27,0,0,222,"1021 - Actual Singapore.txt","Singapore"
28,0,0,231,"1022 - Interior Borneo.txt","Interior Borneo"
29,0,0,239,"1023 - Brunei.txt","Brunei"
30,0,0,247,"1024 - Sabah.txt","Sabah"
31,0,0,255,"1025 - Zamboanga.txt","Zamboanga"
32,0,8,0,"1026 - North Mindanao.txt","Northern Mindanao"
33,0,8,8,"1027 - Bataan.txt","Bataan"
34,0,8,16,"1028 - Hamgyong.txt","Hamgyong"
35,0,8,24,"1029 - Gangwon.txt","Gangwon"
36,0,8,33,"103-Croatia.txt","Dalmatia"
37,0,8,41,"1030 - Gyeongsang.txt","Gyeongsang"
